order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
半翅目,蝽科,C15408000000,麻皮蝽属,C15408105000,麻皮蝽,C15408105005,Erthesina fullo,油桐、油茶、柿、梧桐、泡桐、杨、桃、杏、槐、樱花、构树、女贞、悬铃木,宜兴；常州市；淮阴区、金湖县；浦口区、六合区、玄武区、栖霞区；靖江；宿迁沭阳、宿城区、宿豫区、泗洪；阜宁、盐都、大丰、射阳、东台；江都区、宝应县、扬州市开发区、瘦西湖；镇江市；常熟、吴中区、昆山、吴江、苏州高新区、太仓、丰泾村；徐州：云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市),"麻皮蝽别名黄斑蝽、臭屁虫、臭大姐,刺吸枝干、茎、叶及果实汁液，枝干出现干枯枝条；茎、叶受害出现黄褐色斑点，严重时叶片提前脱落；果实被害后，出现畸型或猴头果，被害部位常木栓化，失去食用价值，对产量及品质有很大损失。"
半翅目,珠蚧科,C15331000000,履绵蚧属,C15331005000,草履蚧,C15331005010,Drosicha corpulenta,杨、樟、石楠、女贞、山核桃、榆等、梨、紫薇、法国冬青、悬铃木、红叶石楠、金边黄杨、珊瑚树、紫叶李,灌南；徐州：云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市）,草履蚧，又称“树虱子、草履硕蚧、草鞋介壳虫、草鞋虫”等，属同翅目草履蚧属昆虫，是一种食性杂、分布广、危害重的刺吸式口器害虫，除危害核桃、桃、梨、苹果、杏、李、枣、樱桃、果桑、石榴、无花果、柿、板栗、柑橘、枇杷、荔枝等果树外，还危害刺槐、白蜡、杨、柳、雪松、法桐等绿化树。树木受害后，树势衰弱、枝梢枯萎、发芽迟缓、叶片早落，甚至枝条或整株枯死，造成巨大的经济损失。
鳞翅目,刺蛾科,C22301000000,绿刺蛾属,C22301090000,褐边绿刺蛾,C22301090015,Latoria consocia Walker,杨树、枣、梨、杏、桃、李、柿、栗、苹果、海棠、樱桃、山楂、核桃等果树，杨、榆、柳、枫、槭、桑、梧桐、白蜡、紫荆、刺槐、乌桕、冬青、悬铃木等,常州市；赣榆区、连云区；如皋；常熟；泰兴；宿迁泗阳、沭阳、宿城区、泗洪、宿豫区；镇江市；吴中区、吴江区、苏州高新区、昆山市、太仓市、御窑社区、常熟；云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全徐州市),褐边绿刺蛾（Latoia consocia Walker），别名： 青刺蛾、褐缘绿刺蛾、四点刺蛾、曲纹绿刺蛾、洋辣子 。属鳞翅目、刺蛾科绿刺蛾属。寄于大叶黄杨、玉米、月季、海棠、桂花、牡丹、芍药、苹果、梨、桃、李、杏、梅、樱桃、枣、柿、核桃、珊瑚、板栗、山楂等果树和杨、柳、悬铃木、榆等林木。幼虫取食叶片，低龄幼虫取食叶肉，仅留表皮，老龄时将叶片吃成孔洞或缺刻，有时仅留叶柄，严重影响树势。
鳞翅目,刺蛾科,C22301000000,黄刺蛾属,C22301070000,黄刺蛾,C22301070005,Cnidocampa flavescens,杨、柿、桃、李、杏、桑、枣、梨、柳、榆、青桐、枫杨、枇杷、乌桕、樱桃、山楂、刺槐、梧桐、板栗、苦楝、苹果、石榴、核桃、五角枫、悬铃木重阳木、三角枫、大叶黄杨,金湖县；赣榆区；如皋；泰兴；宿迁泗阳、宿豫区；江都区、扬州市开发区、瘦西湖；吴中区、太仓市、御窑；云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区（全徐州市）,"黄刺蛾，Cnidocampa flavescens（Walker），属鳞翅目、刺蛾科。国内除甘肃、宁夏、青海、新疆及西藏外,其他省均有分布；另日本、朝鲜、俄罗斯（西伯利亚）等国。以幼虫为害枣、核桃、柿、枫杨、苹果、杨等90多种植物，可将叶片吃成很多孔洞、缺刻或仅留叶柄、主脉，严重影响树势和果实产量。"
鳞翅目,灯蛾科,C22345000000,白蛾属,C22345105000,美国白蛾,C22345105005,Hyphantria cunea,杨、柳、桑、柿、榆、桃、白蜡、构树、木槿、火炬树、君迁子、泡桐、苹果、马褂木、芦苇、大叶黄杨,金湖县、青浦区；盐都、大丰；江宁区、浦口区；宿迁泗阳、沭阳、宿城区、泗洪、宿豫区；盐都区、射阳、阜宁、建湖、响水、亭湖区；江都区、宝应县；云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区（全徐州市）,美国白蛾（学名：Hyphantria cunea）是灯蛾科、白蛾属蛾类，为白色蛾子，雌蛾体长9-15毫米，翅展30-42毫米；雄蛾体长9-13毫米，翅展25-36毫米。卵圆球形，直径0.5-0.53毫米左右。初孵幼虫一般为黄色或淡褐色。雄蛹瘦小，背中央有一条纵脊，雌蛹较肥大。腹部末端有排列不整齐的臀棘10-15根，臀棘末端膨大呈喇叭口状。美国白蛾成虫具有“趋光”、“趋味”、“喜食”3个特性，对气味较为敏感，特别是对腥、香、臭味最敏感。一般在卫生条件较差的厕所、畜舍、臭水坑等周围树木，极易发生疫情。美国白蛾原产于北美洲，主要分布于美国和加拿大南部，其生态分布范围在19°-55N°之间。美国白蛾已被国家环保总局列入中国首批16种外来入侵物种名单。
鳞翅目,灯蛾科,C22345000000,污灯蛾属,C22345170000,人纹污灯蛾,C22345170045,Spilarctia subcarnea,桑、木槿、杨、榆、槐、蔷薇、月季、碧桃、十字花科蔬菜、豆类等,金湖县；灌南、连云区；浦口区；如皋；泰兴；盐都区、射阳、建湖；宝应县；镇江市；常熟、渭南村；开发区、丰县、沛县*、铜山区、睢宁县,人纹污灯蛾为鳞翅目，灯蛾科。在中国北起黑龙江、内蒙古，南至台湾、海南、广东、广西、云南等。寄主蔷薇、月季、榆等。幼虫食叶，吃成孔洞或缺刻。
鳞翅目,凤蝶科,C22359000000,丝带凤蝶属,C22359050000,丝带凤蝶,C22359050005,Sericinus montelus Grey,马兜铃、青木香,宜兴；赣榆区、连云区；六合区、溧水区；姜堰；响水；江都区；镇江市；常熟；徐州云龙区、鼓楼区、泉山区、开发区、沛县*、铜山区、睢宁县、新沂市、贾汪区,丝带凤蝶 Sericinus montelus Grey 隶属于凤蝶科丝带凤蝶属 ，丝带凤蝶分布于中国 、朝鲜和 日本等。成虫4--8月间出现，飞行轻缓。丝带凤蝶又名软凤蝶、马兜铃凤蝶等，翅面背景从乳白色到乳黄色，上嵌少数黑点，臀角有以红色细带嵌在黑斑上，尾突细长如飘带。
鳞翅目,天蛾科,C22341000000,霜天蛾属,C22341165000,霜天蛾,C22341165010,Psilogramma menephron,女贞、柳、泡桐、梧桐、丁香、樟树、桂花、楸树、苦楝、牡荆、白蜡、悬铃木、栀子花、金叶女贞等,连云区；高淳区、建邺区、鼓楼区、浦口区、六合区；泰兴；泗阳县；射阳、阜宁、东台；江都区、宝应县、邗江区、仪征市；徐州云龙区、开发区、丰县、沛县*、铜山区、睢宁县、新沂市、贾汪区,"霜天蛾（Psilogramma menephron Cramer,1780）是天蛾科霜天蛾属的一种动物。"
鳞翅目,舟蛾科,C22342000000,扇舟蛾属,C22342015000,杨扇舟蛾,C22342015005,Clostera anachoreta,杨、柳,金湖县；如皋；泰兴、靖江；江都区；徐州云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市),"杨扇舟蛾（Clostera anachoreta Denis & Schiffermüller,1775）是舟蛾科扇舟蛾属的一种动物"
